OTU_ID,OB05_CA122A2,OB08_CA10,OB11_CA58A1,OB13_CA50B,OB18_CA51A3A,OB21_CA51A3,OB23_T046B4,OB25_T037A2,OB26_T037,OB29_T068C1,OB31_T023D3,OB32_T073A2,OB33_T073A1,OB35_T101B,OB37_T100F,FP_T101A_M_BC_OA,OB40_T060D,OB41_T060E
Zotu2901,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,4
Zotu2907,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,4,6
Zotu2908,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0
Zotu2909,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,5
Zotu291,0,219,0,3,4,16,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2910,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4
Zotu2911,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
Zotu2912,0,0,0,0,0,0,0,7,0,7,0,0,5,0,0,0,0,0
Zotu2915,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,6
Zotu2916,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5
Zotu2917,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0
Zotu292,46,0,0,5,0,10,67,52,20,52,110,69,50,36,75,58,43,73
Zotu2929,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2936,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4
Zotu2937,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
Zotu2938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5
Zotu2941,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Zotu2942,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0
Zotu2944,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Zotu2947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Zotu2948,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
Zotu295,54,0,0,0,0,10,66,41,15,64,137,91,66,26,81,28,65,62
Zotu2954,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0
Zotu2955,0,0,0,0,0,0,3,7,0,0,0,5,0,0,0,4,0,0
Zotu2956,0,0,0,0,0,0,0,0,0,3,3,0,8,0,3,0,0,0
Zotu2962,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,8
Zotu2963,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,4,0,0
Zotu2964,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0
Zotu2966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
Zotu2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Zotu297,0,0,0,0,0,0,52,39,126,10,0,0,0,37,30,104,97,81
Zotu2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
