SampleType,Genus
Flukeprint,Latescibacteria_genera_incertae_sedis
Flukeprint,Aquicella
Flukeprint,Mariprofundus
Flukeprint,Aurantimicrobium
Flukeprint,Leucobacter
Flukeprint,Microbacterium
Flukeprint,Micrococcus
Flukeprint,Plesiocystis
Flukeprint,Rivicola
Flukeprint,Georgfuchsia
Flukeprint,Methylotenera
Flukeprint,Nitrosospira
Flukeprint,Thiobacillus
Flukeprint,Nitrospira
Flukeprint,Marinomonas
Flukeprint,Spongiispira
Flukeprint,Pseudobacteriovorax
Flukeprint,Cephaloticoccus
Flukeprint,Lacunisphaera
Flukeprint,Oleiharenicola
Flukeprint,Defluviitoga
Flukeprint,Blastopirellula
Flukeprint,Rhodopirellula
Flukeprint,Rubripirellula
Flukeprint,Gimesia
Flukeprint,Planctomicrobium
Flukeprint,Schlesneria
Flukeprint,Singulisphaera
Flukeprint,Zea
Flukeprint,Cutibacterium
Flukeprint,Psychrobacter
Flukeprint,Pelagicoccus
Flukeprint,Ruficoccus
Flukeprint,Allorhizobium
Flukeprint,Beijerinckia
Flukeprint,Bradyrhizobium
Flukeprint,Devosia
Flukeprint,Hoeflea
Flukeprint,Hyphomicrobium
Flukeprint,Lentilitoribacter
Flukeprint,Parvibaculum
Flukeprint,Pedomicrobium
Flukeprint,Pseudahrensia
Flukeprint,Pseudolabrys
Flukeprint,Rhizobium
Flukeprint,Xanthobacter
Flukeprint,Amylibacter
Flukeprint,Celeribacter
Flukeprint,Cypionkella
Flukeprint,Halocynthiibacter
Flukeprint,Nereida
Flukeprint,Octadecabacter
Flukeprint,Roseovarius
Flukeprint,Thalassobius
Flukeprint,Ferribacterium
Flukeprint,Acidocella
Flukeprint,Rhodovarius
Flukeprint,Thalassobaculum
Flukeprint,Varunaivibrio
Flukeprint,Roseithermus
Flukeprint,Occidentia
Flukeprint,Rickettsia
Flukeprint,Saccharibacteria_genera_incertae_sedis
Flukeprint,Anaerohalosphaera
Flukeprint,Anaerosinus
Flukeprint,Megamonas
Flukeprint,Pelosinus
Flukeprint,Selenomonas
Flukeprint,Spartobacteria_genera_incertae_sedis
Flukeprint,Mucilaginibacter
Flukeprint,Erythrobacter
Flukeprint,Sphingobium
Flukeprint,Longivirga
Flukeprint,Acetomicrobium
Flukeprint,Cysteiniphilum
Flukeprint,Thiothrix
Flukeprint,Dialister
Flukeprint,Luteolibacter
Flukeprint,Aliivibrio
Flukeprint,Photobacterium
Flukeprint,Vibrio
Flukeprint,Arenimonas
Flukeprint,Stenotrophomonas
